Date,Price,Open,High,Low,Vol.,Change %
7/24/2025,154.86,153.98,155.63,152.57,38.93M,0.15%
7/23/2025,154.63,149.74,155,148.29,48.06M,3.73%
7/22/2025,149.07,150.85,151.79,145.06,49.88M,-1.79%
7/21/2025,151.79,153.88,155.44,151.36,45.07M,-1.13%
7/18/2025,153.52,154.86,154.92,151.9,45.77M,-0.31%
7/17/2025,153.99,151.56,155.68,150.82,60.17M,2.04%
7/16/2025,150.91,149.3,151.51,147.67,57.64M,1.57%
7/15/2025,148.58,148.93,150.62,147.36,59.13M,-0.38%
7/14/2025,149.15,142.72,149.57,142.22,81.77M,4.96%
7/11/2025,142.1,142.11,144.58,141.47,52.13M,-0.28%
7/10/2025,142.5,143.31,145.16,139.53,64.38M,-0.44%
7/9/2025,143.13,139.65,143.17,137.39,68.49M,2.45%
7/8/2025,139.71,138.77,139.85,135.79,59.83M,0.42%
7/7/2025,139.12,134.38,139.29,132.32,71.96M,3.54%
7/3/2025,134.36,134.36,135.62,132.51,41.81M,1.70%
7/2/2025,132.12,131.47,133.6,130.19,59.73M,1.10%
7/1/2025,130.68,135.27,136.32,128.51,91.48M,-4.14%
6/30/2025,136.32,137.79,138.88,134.8,97.31M,4.27%
6/27/2025,130.74,144.87,144.97,130.54,202.60M,-9.37%
6/26/2025,144.25,144.85,148.21,142.91,69.44M,0.94%
6/25/2025,142.9,144.49,147.67,141.53,61.44M,-0.23%
6/24/2025,143.23,140.98,143.66,137.8,58.57M,2.37%
6/23/2025,139.92,138.9,142.15,135.96,70.50M,1.91%
6/20/2025,137.3,140.69,142.24,136.74,87.07M,-1.90%
6/18/2025,139.96,139.04,140.36,137.49,58.26M,1.27%
6/17/2025,138.2,141.49,141.69,136.08,70.48M,-2.27%
6/16/2025,141.41,140.03,144.86,139.81,80.78M,2.92%
6/13/2025,137.4,133.82,139.99,133.35,93.52M,1.63%
6/12/2025,135.19,136.4,137.1,134.63,56.25M,-0.88%
6/11/2025,136.39,133.92,140,132.99,97.37M,2.70%
6/10/2025,132.81,131.02,134.07,129.41,69.31M,0.57%
