"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2025","329.36","328.23","333.33","325.60","58.39M","-1.35%"
"08/29/2025","333.87","347.23","348.75","331.70","81.15M","-3.50%"
"08/28/2025","345.98","350.91","353.55","340.26","67.90M","-1.04%"
"08/27/2025","349.60","351.94","355.39","349.16","65.52M","-0.59%"
"08/26/2025","351.67","344.93","351.90","343.72","76.65M","1.46%"
"08/25/2025","346.60","338.90","349.53","335.03","86.67M","1.94%"
"08/22/2025","340.01","321.66","340.25","319.69","94.02M","6.22%"
"08/21/2025","320.11","322.08","324.90","318.68","55.74M","-1.17%"
"08/20/2025","323.90","329.22","331.37","314.60","77.48M","-1.64%"
"08/19/2025","329.31","335.79","340.55","327.85","75.96M","-1.75%"
"08/18/2025","335.16","329.62","336.27","329.59","56.96M","1.39%"
"08/15/2025","330.56","337.65","339.30","327.02","74.32M","-1.50%"
"08/14/2025","335.58","335.76","340.47","330.40","75.00M","-1.12%"
"08/13/2025","339.38","341.50","348.98","338.20","67.84M","-0.43%"
"08/12/2025","340.84","345.00","345.26","332.94","80.69M","0.53%"
"08/11/2025","339.03","335.00","346.64","334.15","105.32M","2.85%"
"08/08/2025","329.65","321.43","335.15","320.98","91.20M","2.29%"
"08/07/2025","322.27","319.79","322.40","316.16","66.66M","0.74%"
"08/06/2025","319.91","307.89","320.47","306.93","78.52M","3.62%"
"08/05/2025","308.72","308.95","312.45","305.50","57.96M","-0.17%"
"08/04/2025","309.26","309.08","312.12","303.00","78.68M","2.19%"
"08/01/2025","302.63","306.20","309.31","297.82","89.12M","-1.83%"
"07/31/2025","308.27","319.61","321.37","306.10","85.27M","-3.38%"
"07/30/2025","319.04","322.18","324.45","311.62","83.93M","-0.67%"
"07/29/2025","321.20","325.55","326.25","318.25","87.36M","-1.35%"
"07/28/2025","325.59","318.45","330.49","315.69","112.67M","3.02%"
"07/25/2025","316.06","308.74","323.63","308.01","148.23M","3.52%"
"07/24/2025","305.30","310.00","310.15","300.41","156.97M","-8.20%"
"07/23/2025","332.56","330.90","336.20","328.67","92.55M","0.14%"
"07/22/2025","332.11","329.74","335.41","321.55","77.37M","1.10%"
"07/21/2025","328.49","334.40","338.00","326.88","75.77M","-0.35%"
"07/18/2025","329.65","321.66","330.90","321.42","94.25M","3.21%"
"07/17/2025","319.41","323.15","324.34","317.06","73.92M","-0.70%"
"07/16/2025","321.67","312.80","323.50","312.62","97.28M","3.50%"
"07/15/2025","310.78","319.67","321.20","310.50","77.56M","-1.93%"
"07/14/2025","316.90","317.73","322.60","312.67","78.04M","1.08%"
"07/11/2025","313.51","307.89","314.09","305.65","79.24M","1.17%"
"07/10/2025","309.87","300.05","310.48","300.00","104.37M","4.73%"
"07/09/2025","295.88","297.55","300.15","293.55","75.59M","-0.65%"
"07/08/2025","297.81","297.00","304.05","294.35","103.25M","1.32%"
"07/07/2025","293.94","291.37","296.15","288.77","131.18M","-6.79%"
"07/03/2025","315.35","317.99","318.45","312.76","58.04M","-0.10%"
"07/02/2025","315.65","312.63","316.83","303.82","119.48M","4.97%"
"07/01/2025","300.71","298.46","305.89","293.21","145.09M","-5.34%"
"06/30/2025","317.66","319.90","325.58","316.60","76.70M","-1.84%"
"06/27/2025","323.63","324.51","329.34","317.49","89.07M","-0.66%"
"06/26/2025","325.78","324.61","331.05","323.61","80.44M","-0.54%"
"06/25/2025","327.55","342.70","343.00","320.40","119.85M","-3.79%"
"06/24/2025","340.47","356.17","356.26","340.44","114.74M","-2.35%"
"06/23/2025","348.68","327.54","357.54","327.48","190.72M","8.23%"
"06/20/2025","322.16","327.95","332.36","317.78","108.69M","0.03%"
"06/18/2025","322.05","317.31","329.32","315.45","95.14M","1.80%"
